Roadway,IntegrationTime,Hour,Light Vehicles,Pollutant,Light Vehicles_EF_MJ/vehicle,Light Vehicles_E_MJ/s
via04,1,0,10,FC,4.633571,0.0128710305555556
via04,1,1,15,FC,4.633571,0.0193065458333333
via04,1,2,5,FC,4.633571,0.00643551527777778
via04,1,3,7,FC,4.633571,0.00900972138888889
via04,1,4,8,FC,4.633571,0.0102968244444444
via04,1,5,11,FC,4.633571,0.0141581336111111
via04,1,6,25,FC,4.633571,0.0321775763888889
via04,1,7,100,FC,4.633571,0.128710305555556
via04,1,8,143,FC,4.633571,0.184055736944444
via04,1,9,185,FC,4.633571,0.238114065277778
via04,1,10,198,FC,4.633571,0.254846405
via04,1,11,162,FC,4.633571,0.208510695
via04,1,12,149,FC,4.633571,0.191778355277778
via04,1,13,122,FC,4.633571,0.157026572777778
via04,1,14,96,FC,4.633571,0.123561893333333
via04,1,15,85,FC,4.633571,0.109403759722222
via04,1,16,91,FC,4.633571,0.117126378055556
via04,1,17,156,FC,4.633571,0.200788076666667
via04,1,18,205,FC,4.633571,0.263856126388889
via04,1,19,189,FC,4.633571,0.2432624775
via04,1,20,94,FC,4.633571,0.120987687222222
via04,1,21,26,FC,4.633571,0.0334646794444444
via04,1,22,18,FC,4.633571,0.023167855
via04,1,23,11,FC,4.633571,0.0141581336111111
